iter	RMSE
0	36322.12238
1	35462.28276
2	34610.30989
3	33808.22748
4	33085.20434
5	32426.11137
6	31747.72706
7	31082.83082
8	30429.44115
9	29803.60796
10	29219.04966
11	28661.87589
12	28133.36842
13	27602.87035
14	27119.72193
15	26638.74024
16	26217.27566
17	25794.60291
18	25387.69687
19	25003.07919
20	24626.11878
21	24290.55211
22	23901.09292
23	23557.98565
24	23231.99874
25	22939.91213
26	22624.74422
27	22343.74823
28	22076.96686
29	21780.97956
30	21530.51227
31	21302.65104
32	21079.40296
33	20863.12709
34	20644.6546
35	20476.32421
36	20236.49409
37	20039.65786
38	19826.21122
39	19663.79439
40	19509.7348
41	19326.27387
42	19161.2449
43	19022.80662
44	18903.45736
45	18778.08113
46	18643.92974
47	18508.71551
48	18388.27734
49	18288.58976
50	18189.51407
51	18093.11602
52	17987.25079
53	17916.60443
54	17818.19119
55	17701.695
56	17597.88738
57	17510.20941
58	17433.1158
59	17330.03459
60	17245.13596
61	17168.67064
62	17097.72264
63	17023.46889
64	16964.04818
65	16890.80764
66	16821.92247
67	16739.96322
68	16682.75844
69	16603.0854
70	16544.49142
71	16484.1263
72	16413.45526
73	16352.82434
74	16295.15447
75	16231.28667
76	16172.35008
77	16117.05914
78	16042.42063
79	15981.82859
80	15942.36639
81	15892.17553
82	15840.28195
83	15795.62004
84	15751.53606
85	15698.12476
86	15643.42902
87	15607.61911
88	15568.34576
89	15527.68039
90	15484.86267
91	15433.82874
92	15397.51879
93	15362.79309
94	15312.34721
95	15274.40933
96	15231.13118
97	15194.68362
98	15157.501
99	15125.8769
100	15091.43196
101	15052.5509
102	15015.56841
103	14981.0568
104	14927.25685
105	14906.17095
106	14877.57083
107	14844.62845
108	14821.90334
109	14785.29207
110	14753.11394
111	14715.49901
112	14676.99064
113	14647.4599
114	14613.20385
115	14580.25734
116	14550.00063
117	14494.25185
118	14473.54682
119	14439.18574
120	14406.82287
121	14366.06144
122	14331.74059
123	14303.34635
124	14281.6726
125	14254.63989
126	14239.50024
127	14209.62681
128	14174.57584
129	14145.98204
130	14127.84909
131	14098.18073
132	14069.39176
133	14045.6436
134	14022.28904
135	13994.30716
136	13954.31713
137	13929.9846
138	13893.11414
139	13862.94147
140	13831.50564
141	13809.27431
142	13775.76545
143	13759.51944
144	13716.29975
145	13693.98995
146	13673.55145
147	13650.31174
148	13621.0115
149	13588.85337
150	13554.64639
151	13525.91573
152	13489.12277
153	13468.95953
154	13454.2321
155	13439.03752
156	13406.63285
157	13380.16719
158	13359.5665
159	13336.47742
160	13311.96562
161	13299.6693
162	13270.21078
163	13237.71319
164	13201.81808
165	13180.62713
166	13162.26839
167	13149.18917
168	13121.79115
169	13104.75479
170	13090.71851
171	13070.00309
172	13041.77015
173	13033.7387
174	13009.17514
175	12991.01081
176	12968.73925
177	12954.21342
178	12952.36515
179	12929.93801
180	12913.346
181	12895.91828
182	12882.22896
183	12874.98993
184	12861.18833
185	12833.89226
186	12805.59064
187	12797.75853
188	12762.62053
189	12750.96828
190	12742.73061
191	12731.45845
192	12720.36711
193	12696.97136
194	12688.79626
195	12680.9035
196	12671.78577
197	12667.33334
198	12632.09981
199	12600.50511
200	12587.84524
201	12571.20238
202	12559.73916
203	12553.23312
204	12542.50882
205	12516.44948
206	12493.71855
207	12486.01503
208	12481.13357
209	12465.06204
210	12448.43493
211	12440.92301
212	12419.55512
213	12393.92744
214	12378.47831
215	12370.83415
216	12362.61997
217	12356.60255
218	12348.79263
219	12326.89415
220	12297.43001
221	12279.8603
222	12273.44917
223	12266.46202
224	12258.81856
225	12252.99991
226	12246.28102
227	12243.31123
228	12217.52517
229	12188.33622
230	12184.11205
231	12173.34094
232	12168.0887
233	12163.75563
234	12148.71669
235	12123.72936
236	12118.21046
237	12116.52212
238	12095.81103
239	12092.89629
240	12086.74506
241	12070.4108
242	12056.29595
243	12052.50973
244	12034.24812
245	12008.98156
246	11980.52913
247	11959.09032
248	11957.67788
249	11932.80439
250	11930.56858
251	11929.08255
252	11924.80832
253	11898.88234
254	11896.18493
255	11894.07477
256	11892.39551
257	11890.61051
258	11870.22445
259	11869.02526
260	11845.32962
261	11844.15697
262	11842.38307
263	11820.97958
264	11818.59719
265	11817.50636
266	11814.50178
267	11812.93605
268	11788.02376
269	11769.5019
270	11745.18247
271	11726.44529
272	11722.13692
273	11718.05239
274	11700.68838
275	11699.17133
276	11683.85102
277	11681.89743
278	11662.72471
279	11642.20523
280	11623.90859
281	11622.4441
282	11621.06602
283	11617.56856
284	11594.29086
285	11573.13812
286	11551.4581
287	11536.30028
288	11516.12808
289	11513.88144
290	11490.92832
291	11480.02751
292	11477.86519
293	11464.71058
294	11461.96585
295	11457.27404
296	11455.01327
297	11435.61796
298	11433.57428
299	11432.23054
300	11431.34408
301	11415.59291
302	11389.81545
303	11375.66456
304	11358.08955
305	11356.00581
306	11343.99314
307	11342.054
308	11338.95961
309	11337.83474
310	11334.89268
311	11333.5416
312	11332.30446
313	11306.29525
314	11284.80469
315	11270.31356
316	11257.36263
317	11236.0561
318	11212.02865
319	11201.34758
320	11200.13403
321	11196.82332
322	11180.98844
323	11179.82277
324	11177.74543
325	11174.54879
326	11173.67698
327	11155.3503
328	11154.47902
329	11141.34219
330	11124.45625
331	11110.34689
332	11095.75946
333	11082.21746
334	11064.14401
335	11042.37075
336	11039.9079
337	11039.08107
338	11038.39597
339	11029.2674
340	11014.31759
341	10995.22366
342	10994.56101
343	10990.71675
344	10970.38759
345	10969.60444
346	10953.5564
347	10947.25708
348	10928.26951
349	10924.82094
350	10923.52686
351	10922.78985
352	10912.76696
353	10900.73242
354	10898.13283
355	10881.29167
356	10868.53958
357	10852.83229
358	10842.52864
359	10826.0589
360	10825.41997
361	10814.35291
362	10800.6487
363	10790.53073
364	10789.85314
365	10781.32841
366	10766.50121
367	10757.01253
368	10747.99755
369	10738.04266
370	10724.48992
371	10721.98773
372	10707.6502
373	10706.868
374	10693.37076
375	10689.98219
376	10670.849
377	10668.16073
378	10665.7911
379	10663.52096
380	10648.89782
381	10632.20435
382	10631.54229
383	10617.4527
384	10602.13284
385	10601.48438
386	10599.76147
387	10588.48639
388	10579.68435
389	10578.07126
390	10577.2495
391	10560.29824
392	10558.01685
393	10557.46199
394	10545.07388
395	10533.86826
396	10526.96833
397	10522.99742
398	10521.57769
399	10517.85221
400	10511.14728
401	10500.99806
402	10488.64078
403	10476.62518
404	10468.36861
405	10467.37608
406	10460.05978
407	10459.33331
408	10449.08675
409	10448.534
410	10437.84545
411	10436.49889
412	10424.9613
413	10424.44783
414	10424.03124
415	10413.77011
416	10412.81586
417	10411.52917
418	10401.6155
419	10390.84667
420	10390.01279
421	10375.45962
422	10374.83595
423	10374.31833
424	10362.76151
425	10362.38893
426	10361.98372
427	10347.94289
428	10347.53502
429	10347.10652
430	10344.31099
431	10330.04438
432	10312.71801
433	10312.32248
434	10297.19895
435	10288.03181
436	10280.31211
437	10272.44528
438	10267.84273
439	10266.62327
440	10257.55712
441	10247.58528
442	10235.39199
443	10221.32412
444	10210.76636
445	10208.5454
446	10208.09597
447	10194.40627
448	10178.01359
449	10162.48676
450	10151.78401
451	10139.10422
452	10130.03167
453	10114.47625
454	10107.68332
455	10106.7477
456	10106.3838
457	10098.88942
458	10091.52375
459	10082.5718
460	10069.03231
461	10059.47849
462	10045.1751
463	10031.68762
464	10031.32009
465	10018.76169
466	10018.44252
467	10008.73125
468	9995.78302
469	9985.988854
470	9978.458885
471	9970.829776
472	9959.109558
473	9958.840352
474	9952.481165
475	9952.111333
476	9951.731464
477	9936.959785
478	9931.061766
479	9927.045377
480	9919.017648
481	9906.817521
482	9898.494619
483	9889.391521
484	9879.976109
485	9874.073415
486	9872.871197
487	9869.151394
488	9863.043365
489	9852.964418
490	9844.391099
491	9837.880279
492	9826.417795
493	9816.712622
494	9808.426054
495	9801.512329
496	9791.999468
497	9783.219589
498	9775.465995
499	9764.756585
500	9758.53683
501	9757.691318
502	9750.560822
503	9739.722993
504	9733.813239
505	9724.785193
506	9720.154827
507	9712.250813
508	9706.199743
509	9700.491143
510	9692.361646
511	9684.51358
512	9676.896884
513	9663.414473
514	9657.0502
515	9652.556824
516	9646.126962
517	9641.360194
518	9630.345925
519	9621.114948
520	9615.021175
521	9605.20654
522	9593.990058
523	9592.87886
524	9582.986667
525	9573.50228
526	9565.940482
527	9550.67825
528	9546.569371
529	9536.354868
530	9527.334438
531	9520.153458
532	9513.441778
533	9501.972669
534	9500.960763
535	9491.084247
536	9487.165436
537	9483.787559
538	9475.339578
539	9471.264711
540	9464.049357
541	9460.368088
542	9459.244328
543	9448.557212
544	9444.96193
545	9442.36891
546	9436.657314
547	9435.750299
