iter	Passed	Remaining
0	1	1961
1	4	2279
2	6	2313
3	9	2362
4	12	2524
5	15	2493
6	17	2502
7	20	2491
8	22	2482
9	25	2503
10	28	2584
11	31	2558
12	33	2573
13	36	2557
14	38	2552
15	41	2544
16	44	2563
17	46	2563
18	49	2545
19	51	2539
20	54	2538
21	56	2529
22	59	2546
23	62	2545
24	64	2530
25	67	2516
26	69	2514
27	72	2501
28	75	2526
29	78	2526
30	80	2515
31	82	2509
32	85	2505
33	87	2494
34	90	2507
35	93	2501
36	95	2492
37	98	2484
38	100	2479
39	103	2474
40	106	2492
41	109	2486
42	111	2477
43	113	2474
44	116	2464
45	118	2462
46	122	2474
47	124	2464
48	126	2458
49	128	2447
50	131	2440
51	133	2433
52	136	2442
53	138	2421
54	140	2417
55	143	2415
56	145	2408
57	147	2401
58	150	2399
59	153	2401
60	155	2395
61	158	2393
62	160	2387
63	162	2381
64	165	2379
65	168	2382
66	170	2378
67	173	2377
68	175	2372
69	178	2367
70	181	2370
71	183	2368
72	186	2362
73	188	2356
74	190	2351
75	193	2347
76	195	2346
77	198	2343
78	200	2341
79	203	2338
80	205	2333
81	208	2331
82	210	2327
83	213	2328
84	216	2325
85	218	2321
86	220	2316
87	223	2312
88	225	2308
89	228	2311
90	231	2309
91	233	2305
92	236	2301
93	238	2299
94	240	2293
95	243	2296
96	246	2291
97	248	2285
98	250	2280
99	252	2275
100	255	2271
101	258	2271
102	260	2268
103	262	2263
104	265	2259
105	267	2254
106	269	2250
107	271	2245
108	275	2252
109	277	2247
110	280	2246
111	282	2243
112	285	2238
113	287	2235
114	290	2238
115	293	2234
116	295	2229
117	297	2226
118	300	2221
119	302	2219
120	305	2221
121	308	2218
122	310	2213
123	312	2209
124	315	2205
125	317	2203
126	319	2195
127	322	2198
128	325	2194
129	327	2190
130	329	2186
131	332	2184
132	334	2182
133	337	2180
134	339	2177
135	342	2173
136	344	2170
137	346	2167
138	349	2163
139	352	2162
140	354	2161
141	357	2158
142	359	2155
143	362	2152
144	365	2153
145	367	2151
146	370	2152
147	373	2149
148	375	2147
149	378	2145
150	381	2146
151	384	2143
152	386	2141
153	389	2137
154	391	2134
155	394	2131
156	396	2131
157	399	2129
158	401	2125
159	404	2122
160	406	2119
161	409	2117
162	412	2116
163	414	2114
164	417	2111
165	419	2107
166	421	2104
167	424	2100
168	427	2099
169	429	2097
170	431	2093
171	434	2089
172	436	2087
173	438	2083
174	441	2081
175	444	2078
176	446	2076
177	449	2073
178	450	2064
179	452	2062
180	455	2059
181	458	2059
182	460	2056
183	462	2052
184	465	2050
185	467	2047
186	470	2043
187	473	2044
188	476	2042
189	478	2039
190	480	2036
191	483	2033
192	485	2030
193	489	2032
194	491	2028
195	493	2025
196	496	2022
197	498	2019
198	500	2016
199	504	2017
200	506	2014
201	509	2011
202	511	2009
203	513	2005
204	516	2001
205	519	2002
206	522	1999
207	524	1996
208	526	1993
209	528	1989
210	531	1986
211	534	1987
212	537	1984
213	539	1983
214	542	1979
215	544	1976
216	546	1973
217	550	1973
218	552	1970
219	555	1968
220	557	1965
221	559	1962
222	562	1959
223	565	1960
224	568	1956
225	570	1953
226	572	1950
227	574	1946
228	577	1944
229	580	1944
230	583	1942
231	586	1940
232	589	1939
233	591	1937
234	594	1933
235	597	1933
236	599	1930
237	601	1927
238	604	1924
239	606	1921
240	608	1917
241	612	1917
242	614	1915
243	616	1911
244	619	1908
245	621	1906
246	624	1902
247	628	1904
248	630	1902
249	633	1900
